Source,Target,Type,Id,Label,timeset,Weight
@alyciacooper,@therealroseanne,Directed,380,,,1
@IWokeUpBlack,@therealroseanne,Directed,381,,,1
@CahnEmily,@CahnEmily,Directed,382,,,1
@HWJ21847,@GlennKesslerWP,Directed,383,,,1
@HWJ21847,@therealroseanne,Directed,384,,,1
@HWJ21847,@ADL_National,Directed,385,,,1
@DREALDSPILL,@soonerrick,Directed,386,,,1
@DREALDSPILL,@BethB1213,Directed,387,,,1
@DREALDSPILL,@therealroseanne,Directed,388,,,1
@DREALDSPILL,@ABCNetwork,Directed,389,,,1
@kingsleyyy,@kingsleyyy,Directed,390,,,1
@DavMicRot,@DavMicRot,Directed,391,,,1
@DavMicRot,@therealroseanne,Directed,392,,,1
@Thomas1774Paine,@Thomas1774Paine,Directed,393,,,1
@Writes4Atten,@CNNMoney,Directed,394,,,1
@julie_somebody,@dugjeffshow,Directed,395,,,1
@julie_somebody,@therealroseanne,Directed,396,,,1
@Jamake0602,@therealroseanne,Directed,397,,,1
@gbmnyc,@gbmnyc,Directed,398,,,1
@gbmnyc,@therealroseanne,Directed,399,,,1
@ElderLansing,@ElderLansing,Directed,400,,,1
@wakandamcu,@wakandamcu,Directed,401,,,1
@NYorNothing,@NYorNothing,Directed,402,,,1
@MaxBlumenthal,@MaxBlumenthal,Directed,403,,,1
@ira,@ira,Directed,404,,,1
@quickslanding,@quickslanding,Directed,405,,,1
@atDavidHoffman,@atDavidHoffman,Directed,406,,,1
@BenOgaz,@BenSPLATT,Directed,407,,,1
@SwampyTrump,@SwampyTrump,Directed,408,,,1
@SwampyTrump,@therealroseanne,Directed,409,,,1
@FHMertz,@FHMertz,Directed,410,,,1
@FHMertz,@zingazingzing,Directed,411,,,1
@FHMertz,@therealroseanne,Directed,412,,,1
@FHMertz,@ABC,Directed,413,,,1
@FHMertz,@Twitter,Directed,414,,,1
@PersuasivePR,@PersuasivePR,Directed,415,,,1
@mikekdriggs,@iamwandasykes,Directed,416,,,1
