Source,Target,Type,Id,Label,timeset,Weight
@24_7Eyes,@johniadarola,Directed,51358,,,1
@24SevenEyes,@AymanM,Directed,36703,,,1
@24SevenEyes,@JackPosobiec,Directed,44798,,,1
@24SevenEyes,@JamesKosur,Directed,37429,,,1
@24SevenEyes,@krassenstein,Directed,36969,,,1
@24SevenEyes,@ManInTheHoody,Directed,38252,,,1
@24SevenEyes,@nathanlean,Directed,42897,,,1
@24SevenEyes,@RyanAFournier,Directed,37130,,,1
@24SevenEyes,@shondarhimes,Directed,40810,,,1
@24SevenEyes,@THEsaragilbert,Directed,49446,,,1
@24SevenEyes,@thinkprogress,Directed,45504,,,1
@24SevenEyes,@TomArnold,Directed,36970,,,1
@24SevenEyes,@willsommer,Directed,46765,,,1
@24SevenEyes,@YouTube,Directed,31982,,,1
@25Article4,@EboneezerG,Directed,61433,,,1
@25Article4,@realfakeAF,Directed,61432,,,1
@25Doubles,@ananavarro,Directed,48232,,,1
@25Doubles,@bensherwood,Directed,48234,,,1
@25nowfor45,@TedNugent,Directed,9595,,,1
@27___stefanie,@shannoncoulter,Directed,52509,,,1
@27___stefanie,@THEsaragilbert,Directed,52511,,,1
@290C0017MB,@FoxNews,Directed,11881,,,1
@290C0017MB,@josephmcclung81,Directed,11880,,,1
@2AHERO,@DrShayPhD,Directed,26881,,,1
@2bc6d41fb6f74d8,@WBIR,Directed,28634,,,1
@2bobs,@2bobsKayaJones,Directed,24502,,,1
@2bobs,@KayaJones,Directed,24503,,,1
@2broz_Twitchtv,@andygh26,Directed,25744,,,1
@2broz_Twitchtv,@debralynnsmith3,Directed,25746,,,1
@2broz_Twitchtv,@Milliron681,Directed,30340,,,1
@2broz_Twitchtv,@QuantumCitizen,Directed,30337,,,1
@2broz_Twitchtv,@soonerrick,Directed,25745,,,1
@2broz_Twitchtv,@vamomvb,Directed,30338,,,1
@2broz_Twitchtv,@zacklie731,Directed,30339,,,1
@2Folden,@Sagron_of_Akkad,Directed,23131,,,1
@2HarryBawlz,@CraigTollting,Directed,13662,,,1
@2MammaDee,@BAILEYWORLD,Directed,39727,,,1
@2MammaDee,@NBCNews,Directed,39728,,,1
@2MammaDee,@thr,Directed,39729,,,1
@2MountainGirl,@DaddyFems,Directed,54035,,,1
@2MountainGirl,@JakeSherman,Directed,54036,,,1
@2MountainGirl,@nicwil75,Directed,54034,,,1
@2ndamendrytes,@ConservaMomUSA,Directed,34212,,,1
@2ndamendrytes,@HillaryClinton,Directed,34215,,,1
@2ndamendrytes,@la700,Directed,34213,,,1
@2ndfor1st,@MARS0411,Directed,56066,,,1
@2ndfor1st,@Melissa31920880,Directed,56070,,,1
@2ndfor1st,@Mudsilll,Directed,56068,,,1
@2ndfor1st,@SharylAttkisson,Directed,56071,,,1
@2ndfor1st,@stphnmalloy,Directed,56065,,,1
@2ndfor1st,@Truthskr72,Directed,56069,,,1
@2ndruntv,@FLOTUS,Directed,61554,,,1
@2ndruntv,@jimmykimmel,Directed,61553,,,1
@2ndruntv,@KayaJones,Directed,61551,,,1
@2ndtimehere,@glennbeck,Directed,18301,,,1
@2ndtimehere,@tweeterposter,Directed,13451,,,1
@2plus2equals7,@Paisano,Directed,8766,,,1
@2plus2equals7,@ScottAdamsSays,Directed,8767,,,1
@2soongoneDan,@1Romans58,Directed,12321,,,1
@2soongoneDan,@VP,Directed,12322,,,1
@3_1_7_5_3_7,@justjanie1123,Directed,23448,,,1
@3_ThreeFeathers,@Curious_66,Directed,21930,,,1
@303Trixy,@vicenews,Directed,22709,,,1
@305ALLtheWAY,@305ALLtheWAY,Directed,27663,,,1
@30piecesofsilve,@GlennThrush,Directed,26996,,,1
@313928Jon,@HouseGOP,Directed,14739,,,1
@313928Jon,@matthewamiller,Directed,14737,,,1
@313928Jon,@POTUS,Directed,14740,,,1
@313928Jon,@SenateGOP,Directed,14738,,,1
@315Evelina,@ChelseaClinton,Directed,5486,,,1
@315Evelina,@DEEmmons,Directed,14044,,,1
@315Evelina,@intheMatrixxx,Directed,5485,,,1
@315Evelina,@NancyLevcovich,Directed,11967,,,1
@315Evelina,@oldcowboygirl,Directed,40107,,,1
@315Evelina,@POTUS,Directed,5488,,,1
@321Progress,@netflix,Directed,42535,,,1
@3359_980,@bluejaybeep,Directed,35460,,,1
@3359_980,@bobdyer55,Directed,35458,,,1
@3359_980,@Chelle_Shocker,Directed,35457,,,1
@3359_980,@Grumpyallday,Directed,35461,,,1
