Assigned To	Code	Date	User	Tweet
Suzanne Garcia	Anti-Roseanne	Tue May 29 18:57:49 +0000 2018	unringabell	This makes me so happy. Cannot stand @therealroseanne  https://t.co/MvJg1fodzv
Sarah Jackson	Anti-Roseanne	Tue May 29 18:57:49 +0000 2018	Foti925	racist
Carmen Collins	Unclear/Unrelated	Tue May 29 18:57:50 +0000 2018	CherylJ56261495	@soonerrick @smokeandonyxgal @DeannaSader @DarbaDee @Lani6400 @therealroseanne Yawn, is she done or is she finished!
Suzanne Garcia	Neutral	Tue May 29 18:57:51 +0000 2018	ppm1214	@TwitterMoments ABC had a real dilemma on their hands: Roseanne was making them a lot of money, but, ... both she a... https://t.co/Yt0oUV5nY2
Sigfried Gold	Neutral	Tue May 29 18:57:51 +0000 2018	naiemjoy1	Roseanne' canceled after star's controversial comments - ABC News -  via @ABC https://t.co/UQ9m0XMrCV
Kristen Byers	Neutral	Tue May 29 18:57:53 +0000 2018	C_NO	ABC cancels 'Roseanne' after star's racist Twitter rant - CNN Money https://t.co/qQASRMiS9k
Suzanne Garcia	Neutral	Tue May 29 18:57:53 +0000 2018	iamandrewfacey	Retweeted Keith Boykin (@keithboykin):  Yes, you have the right to free speech in America, but there is a price to... https://t.co/WjquJ2XnRF
Sigfried Gold	Unclear/Unrelated	Tue May 29 18:57:53 +0000 2018	MSueRobertson	@Milliron681 @andygh26 @soonerrick @debralynnsmith3 @therealroseanne Bot https://t.co/ejobIOXM7R
Michael Joseph, III	Unclear/Unrelated	Tue May 29 18:57:53 +0000 2018	katie226610	@HowToGetAwayABC @ABCNetwork Bring @therealroseanne Back!!
Kristen Byers	Unclear/Unrelated	Tue May 29 18:57:54 +0000 2018	spp123steve12	@parkslopegrrl @Gamerben111 @irritatedwoman @ABCNetwork @therealroseanne Ok but referring to her as an April IS rac... https://t.co/rRkT97qaex
Sigfried Gold	Anti-Roseanne	Tue May 29 18:57:54 +0000 2018	LauraJKern	HAHAHAHAHAHA...but in all seriousness, I am more concerned for everyone but Roseanne who now just lost their job. https://t.co/74dvMu2UL3
Sarah Jackson	Unclear/Unrelated	Tue May 29 18:57:55 +0000 2018	3820ct	boycott
Aditya Bhat	Neutral	Tue May 29 18:57:56 +0000 2018	evanescence_4	@Istillwantapony @therealroseanne That doesn't change the fact that she said a RACIST DEROGATORY comment to someone... https://t.co/3VWI0quuVj
Kristen Byers	Neutral	Tue May 29 18:57:56 +0000 2018	GeorgeKZI	@iamwandasykes @RoseanneOnABC ABC just canceled Roseanne
Carmen Collins	Neutral	Tue May 29 18:57:56 +0000 2018	DoctorNora	ABC cancels 'Roseanne' after its star goes on a vitriolic and racist Twitter rampage - The Washington Post https://t.co/tewDbObBoX
Suzanne Garcia	Anti-Roseanne	Tue May 29 18:57:56 +0000 2018	Janko_Arnold	@therealroseanne Sure, you apologize to Miss Jarrett when it threatens your image. You're not truly sorry at all. N... https://t.co/GbkBXZJqpV
Sigfried Gold	Anti-Roseanne	Tue May 29 18:57:56 +0000 2018	Jetsfan1989	@whatupJD3 @therealroseanne @ABC No one took Roseanne's freedom of speech away. She still able to say what she wants.
Michael Joseph, III	Pro-Roseanne	Tue May 29 18:57:56 +0000 2018	akkad_sin	@therealroseanne If Dave chappelle made that joke, it would be fine. Humans are a screwed up race. Not you. You're OK
Michael Joseph, III	Pro-Roseanne	Tue May 29 18:57:56 +0000 2018	ILive4nCauseofU	@charliekirk11 @ABCNetwork was looking for any reason to cancel Roseanne, since it wasn't following their narrative... https://t.co/ZdwQcQVZlj
Aditya Bhat	Neutral	Tue May 29 18:57:57 +0000 2018	gemma_m_storey	ABC cancels 'Roseanne' after star's racist Twitter rant https://t.co/ExQWOrDFBe via @CNNMoney
Carmen Collins	Anti-Roseanne	Tue May 29 18:57:57 +0000 2018	Bigndumm	Well done @ABCNetwork          I do feel for the other actors, cast and crew who are now out of a job due to someone's ne... https://t.co/fluvgrpUd3
Sarah Jackson	Unclear/Unrelated	Tue May 29 18:57:57 +0000 2018	willasrari	@mightcan @AP @therealroseanne Presidents are elected, silly. Now go read a book.
Michael Joseph, III	Unclear/Unrelated	Tue May 29 18:57:57 +0000 2018	GalinMcMahon	NO!!! @ABCNetwork canceled Roseanne - that was the only show my wife Fawn and I could do coitus to. Shoot!  Well, b... https://t.co/5ngPFbgfJz
Michael Joseph, III	Unclear/Unrelated	Tue May 29 18:57:57 +0000 2018	Lynda_M_18	Roseanne
Aditya Bhat	Neutral	Tue May 29 18:57:58 +0000 2018	BellaSmashley	Roseanne was bound to be cancelled. It shouldn't have been renewed in the first place. The show is awkward. The act... https://t.co/zlIRUr2ZN5
Sigfried Gold	Unclear/Unrelated	Tue May 29 18:57:58 +0000 2018	timedout12	@walterowensgrpa Don't break that TV just yet, dear Walter. @FOXTV will probably pick up Roseanne so you and Owen c... https://t.co/k8pshOxHKZ
Sarah Jackson	Neutral	Tue May 29 18:57:58 +0000 2018	chrisfennellart	Trending news at  WHATS UP ATL - ABC cancels 'Roseanne' after Barr's racist tweet https://t.co/w4f8H2knYJ
Michael Joseph, III	Anti-Roseanne	Tue May 29 18:57:58 +0000 2018	Tiggmo17	@therealroseanne BYE Felicia!!! https://t.co/tSN65y2eCS
Michael Joseph, III	Anti-Roseanne	Tue May 29 18:57:58 +0000 2018	Rickwritesnow	@RealAlexJones @therealroseanne At 16, Barr was hit by a car; the incident left her with a traumatic brain injury.... https://t.co/rGUBJAQbOR
Carmen Collins	Anti-Roseanne	Tue May 29 18:57:59 +0000 2018	Vyper2016	@therealroseanne Joke? You're a piece of vile crap. Get out. Leave America.
Carmen Collins	Anti-Roseanne	Tue May 29 18:57:59 +0000 2018	LauraMcAfee1	ByeFelicia
Kristen Byers	Anti-Roseanne	Tue May 29 18:58:00 +0000 2018	catmama717	I'm shocked at the amount of people that truly think Roseanne's right to  free speech was violated. Actually, no. I... https://t.co/pyQddWWWOX
Kristen Byers	Pro-Roseanne	Tue May 29 18:58:00 +0000 2018	adriannebyrd	@AngryBlackLady You have the freedom of speech to be prosecuted by your GOVERNMENT. Roseanne's show is owned by a c... https://t.co/idX6fYzWjb
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:58:01 +0000 2018	17MAGA76	@LawrenceBJones3 Principles over popularity. Roseanne was never conservative. Going against the regressive leftist... https://t.co/uVCA5ysomp
Kristen Byers	Unclear/Unrelated	Tue May 29 18:58:01 +0000 2018	Backedwithdata	@Prosecutorslife @therealroseanne https://t.co/cG6KhYbOns
Carmen Collins	Anti-Roseanne	Tue May 29 18:58:01 +0000 2018	ZizouDescartes	@therealroseanne Thought you were leaving? Door-ass-you  get the picture
Suzanne Garcia	Unclear/Unrelated	Tue May 29 18:58:01 +0000 2018	Michael94845903	yikes
Suzanne Garcia	Unclear/Unrelated	Tue May 29 18:58:01 +0000 2018	lisahirschberg1	@TimeyWimeyTessa @therealroseanne Can't wait for Tim Allen!
Sigfried Gold	Anti-Roseanne	Tue May 29 18:58:01 +0000 2018	duckn_pro	@therealroseanne Your apology means nothing. You have done this before. We know you for what you are: a mean, hatef... https://t.co/8buXhei8E5
Sarah Jackson	Unclear/Unrelated	Tue May 29 18:58:01 +0000 2018	blstremel	@KevinLaforest @bastienje Avant Roseanne et surtout avec la r  volution s  ries  HBO, des personnages principaux avec... https://t.co/frlAK05vWD
